OBJECTID,pkey,name,station,type,entity,functional,physical_s,geometry_s,location,lane_numbe,lane_type,opperation,comm_link,project_sp,lat,lon,published_
1,4525,4171,S1001,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Coon Rapids Blvd,1,Mainline, , ,0217-16,45.14221007,-93.28214299,2025-04-29
2,2158,4172,S1001,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Coon Rapids Blvd,2,Mainline, , ,0217-16,45.14218181,-93.2821081,2025-04-29
3,6038,4173,S1001,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Coon Rapids Blvd,3,Mainline, , ,0217-16,45.1421614,-93.28207039,2025-04-29
4,18630,4189,S1002,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/East River Rd,1,Mainline,Active,L3130,2771-117,45.13852007,-93.29089489,2025-04-29
5,18629,4190,S1002,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/East River Rd,2,Mainline,Active,L3130,2771-117,45.13849464,-93.29087142,2025-04-29
6,18628,4191,S1002,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/East River Rd,3,Mainline,Active,L3130,2771-117,45.13846838,-93.29084689,2025-04-29
7,18627,4055,S1005,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/East River Rd,1,Mainline,Active,L3131,2771-117,45.13815414,-93.29095524,2025-04-29
8,18626,4056,S1005,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/East River Rd,2,Mainline,Active,L3131,2771-117,45.13817717,-93.29098114,2025-04-29
9,18625,4057,S1005,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/East River Rd,3,Mainline,Active,L3131,2771-117,45.13820419,-93.29101177,2025-04-29
10,8105,4065,S1006,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Coon Rapids Blvd,1,Mainline, , ,0217-16,45.14197997,-93.28197849,2025-04-29
11,5385,4066,S1006,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Coon Rapids Blvd,2,Mainline, , ,0217-16,45.14201277,-93.28197765,2025-04-29
12,7513,4067,S1006,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Coon Rapids Blvd,3,Mainline, , ,0217-16,45.14204491,-93.28199166,2025-04-29
13,17768,8363,S1108,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,1,Mainline,Active,L2556,2780-97,45.14907739,-93.50078053,2025-04-29
14,17769,5346,S1108,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,2,Mainline,Active,L2556,2780-97,45.14906269,-93.50082181,2025-04-29
15,17770,5347,S1108,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,3,Mainline,Active,L2556,2780-97,45.14904754,-93.50086598,2025-04-29
16,17771,5348,S1108,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,4,Mainline,Active,L2556,2780-97,45.14903264,-93.50090752,2025-04-29
17,12555,5385,S1120,Virtual Detector,MnDOT,RTMC,Inplace, ,I-94 EB/T.H.610,1,Mainline,Active,L2559,2771-37,45.1375719,-93.49426828,2025-04-29
18,12148,5386,S1120,Virtual Detector,MnDOT,RTMC,Inplace, ,I-94 EB/T.H.610,2,Mainline,Active,L2559,2771-37,45.13759005,-93.49422196,2025-04-29
19,3940,5387,S1120,Virtual Detector,MnDOT,RTMC,Inplace, ,I-94 EB/T.H.610,3,Mainline,Active,L2559,2771-37,45.13760878,-93.49417413,2025-04-29
20,2051,6991,S1775,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Hemlock Ln,1,Mainline,Active,L731,2771-38,45.13010966,-93.43437039,2025-04-29
21,3877,6992,S1775,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Hemlock Ln,2,Mainline,Active,L731,2771-38,45.1301421,-93.43437182,2025-04-29
22,8809,6993,S1776,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Zachary Ln,1,Mainline,Active,L730,2771-38,45.13029716,-93.42500789,2025-04-29
23,4977,6994,S1776,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Zachary Ln,2,Mainline,Active,L730,2771-38,45.13033115,-93.42500865,2025-04-29
24,7501,6999,S1777,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Revere Ln,1,Mainline,Active,L729,2771-38,45.13030174,-93.4115296,2025-04-29
25,5474,7000,S1777,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Revere Ln,2,Mainline,Active,L729,2771-38,45.13033308,-93.4115321,2025-04-29
26,3830,7001,S1778,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Jefferson Hwy,1,Mainline,Active,L728,2771-38,45.13018506,-93.40241318,2025-04-29
27,7821,7002,S1778,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Jefferson Hwy,2,Mainline,Active,L728,2771-38,45.13021644,-93.40241308,2025-04-29
28,3646,7003,S1779,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/U.S.169,1,Mainline,Active,L727,2771-38,45.13001911,-93.39460528,2025-04-29
29,1560,7004,S1779,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/U.S.169,2,Mainline,Active,L727,2771-38,45.13005203,-93.39461894,2025-04-29
